Sequence,Order,Lect,Category,ipa
lh,1,Bezhta,Coda,l
rh,1,Bezhta,Coda,r
mm,1,Bezhta,Coda,m
nm,1,Bezhta,Coda,n
wm,1,Bezhta,Coda,w
jm,1,Bezhta,Coda,j
lm,1,Bezhta,Coda,l
rm,1,Bezhta,Coda,r
mn,1,Bezhta,Coda,m
nn,1,Bezhta,Coda,n
wn,1,Bezhta,Coda,w
jn,1,Bezhta,Coda,j
ln,1,Bezhta,Coda,l
rn,1,Bezhta,Coda,r
mw,1,Bezhta,Coda,m
nw,1,Bezhta,Coda,n
ww,1,Bezhta,Coda,w
jw,1,Bezhta,Coda,j
lw,1,Bezhta,Coda,l
rw,1,Bezhta,Coda,r
mj,1,Bezhta,Coda,m
nj,1,Bezhta,Coda,n
wj,1,Bezhta,Coda,w
jj,1,Bezhta,Coda,j
lj,1,Bezhta,Coda,l
rj,1,Bezhta,Coda,r
ml,1,Bezhta,Coda,m
nl,1,Bezhta,Coda,n
wl,1,Bezhta,Coda,w
jl,1,Bezhta,Coda,j
ll,1,Bezhta,Coda,l
rl,1,Bezhta,Coda,r
mr,1,Bezhta,Coda,m
nr,1,Bezhta,Coda,n
wr,1,Bezhta,Coda,w
jr,1,Bezhta,Coda,j
lr,1,Bezhta,Coda,l
rr,1,Bezhta,Coda,r
pl,1,Central Chong,Onset,p
pʰl,1,Central Chong,Onset,pʰ
tl,1,Central Chong,Onset,t
tʰl,1,Central Chong,Onset,tʰ
cl,1,Central Chong,Onset,c
kl,1,Central Chong,Onset,k
kʰl,1,Central Chong,Onset,kʰ
ml,1,Central Chong,Onset,m
sl,1,Central Chong,Onset,s
pɹ,1,Central Chong,Onset,p
pʰɹ,1,Central Chong,Onset,pʰ
tɹ,1,Central Chong,Onset,t
tʰɹ,1,Central Chong,Onset,tʰ
cɹ,1,Central Chong,Onset,c
kɹ,1,Central Chong,Onset,k
kʰɹ,1,Central Chong,Onset,kʰ
mɹ,1,Central Chong,Onset,m
sɹ,1,Central Chong,Onset,s
pl,1,Eastern Katu,Onset,p
cl,1,Eastern Katu,Onset,c
kl,1,Eastern Katu,Onset,k
sl,1,Eastern Katu,Onset,s
b̤l,1,Eastern Katu,Onset,b̤
d̤l,1,Eastern Katu,Onset,d̤
ɟ̤l,1,Eastern Katu,Onset,ɟ̤
ɡ̤l,1,Eastern Katu,Onset,ɡ̤
ml,1,Eastern Katu,Onset,m
pr,1,Eastern Katu,Onset,p
cr,1,Eastern Katu,Onset,c
kr,1,Eastern Katu,Onset,k
sr,1,Eastern Katu,Onset,s
b̤r,1,Eastern Katu,Onset,b̤
d̤r,1,Eastern Katu,Onset,d̤
ɟ̤r,1,Eastern Katu,Onset,ɟ̤
ɡ̤r,1,Eastern Katu,Onset,ɡ̤
mr,1,Eastern Katu,Onset,m
pw,1,Gurani,Onset,p
dw,1,Gurani,Onset,d
ɡw,1,Gurani,Onset,ɡ
kw,1,Gurani,Onset,k
qw,1,Gurani,Onset,q
fw,1,Gurani,Onset,f
xw,1,Gurani,Onset,x
sw,1,Gurani,Onset,s
ʃw,1,Gurani,Onset,ʃ
zw,1,Gurani,Onset,z
ʒw,1,Gurani,Onset,ʒ
d͡ʒw,1,Gurani,Onset,d͡ʒ
t͡ʃw,1,Gurani,Onset,t͡ʃ
mw,1,Gurani,Onset,m
nw,1,Gurani,Onset,n
rw,1,Gurani,Onset,r
pr,1,Gurani,Onset,p
dr,1,Gurani,Onset,d
ɡr,1,Gurani,Onset,ɡ
kr,1,Gurani,Onset,k
qr,1,Gurani,Onset,q
fr,1,Gurani,Onset,f
xr,1,Gurani,Onset,x
sr,1,Gurani,Onset,s
ʃr,1,Gurani,Onset,ʃ
zr,1,Gurani,Onset,z
ʒr,1,Gurani,Onset,ʒ
d͡ʒr,1,Gurani,Onset,d͡ʒ
t͡ʃr,1,Gurani,Onset,t͡ʃ
mr,1,Gurani,Onset,m
nr,1,Gurani,Onset,n
rr,1,Gurani,Onset,r
pj,1,Gurani,Onset,p
dj,1,Gurani,Onset,d
ɡj,1,Gurani,Onset,ɡ
kj,1,Gurani,Onset,k
