Sequence,Order,Lect,Category,ipa
e,1,Eastern Kayah,Nucleus,e
h,1,Eastern Kayah,Onset,h
i,1,Eastern Kayah,Nucleus,i
j,1,Eastern Kayah,Onset,j
ja,1,Eastern Kayah,Nucleus,j
jo,1,Eastern Kayah,Nucleus,j
jɯ,1,Eastern Kayah,Nucleus,j
k,1,Eastern Kayah,Onset,k
kl,1,Eastern Kayah,Onset,k
kʰ,1,Eastern Kayah,Onset,kʰ
kʰɻ,1,Eastern Kayah,Onset,kʰ
l,1,Eastern Kayah,Onset,l
m,1,Eastern Kayah,Onset,m
n,1,Eastern Kayah,Onset,n
o,1,Eastern Kayah,Nucleus,o
p,1,Eastern Kayah,Onset,p
pl,1,Eastern Kayah,Onset,p
pʰ,1,Eastern Kayah,Onset,pʰ
pʰɻ,1,Eastern Kayah,Onset,pʰ
s,1,Eastern Kayah,Onset,s
t,1,Eastern Kayah,Onset,t
tʰ,1,Eastern Kayah,Onset,tʰ
t͡ɕ,1,Eastern Kayah,Onset,t͡ɕ
t͡ɕʰ,1,Eastern Kayah,Onset,t͡ɕʰ
u,1,Eastern Kayah,Nucleus,u
w,1,Eastern Kayah,Onset,w
wa,1,Eastern Kayah,Nucleus,w
we,1,Eastern Kayah,Nucleus,w
wi,1,Eastern Kayah,Nucleus,w
ŋ,1,Eastern Kayah,Onset,ŋ
ɔ,1,Eastern Kayah,Nucleus,ɔ
ɛ,1,Eastern Kayah,Nucleus,ɛ
ɤ,1,Eastern Kayah,Nucleus,ɤ
ɯ,1,Eastern Kayah,Nucleus,ɯ
ɻ,1,Eastern Kayah,Onset,ɻ
ʌ,1,Eastern Kayah,Nucleus,ʌ
ʔ,1,Eastern Kayah,Onset,ʔ
#,1,Eastern Magar,Onset,#
#,1,Eastern Magar,Coda,#
b,1,Eastern Magar,Coda,b
b̤,1,Eastern Magar,Coda,b̤
d,1,Eastern Magar,Coda,d
d̤,1,Eastern Magar,Coda,d̤
d̪,1,Eastern Magar,Coda,d̪
d̪ʰ,1,Eastern Magar,Coda,d̪ʰ
d͡ʑ,1,Eastern Magar,Coda,d͡ʑ
d͡ʑ̤,1,Eastern Magar,Coda,d͡ʑ̤
h,1,Eastern Magar,Coda,h
k,1,Eastern Magar,Coda,k
kʰ,1,Eastern Magar,Coda,kʰ
l,1,Eastern Magar,Coda,l
l̥,1,Eastern Magar,Coda,l̥
m,1,Eastern Magar,Coda,m
m̥,1,Eastern Magar,Coda,m̥
n,1,Eastern Magar,Coda,n
n̥,1,Eastern Magar,Coda,n̥
p,1,Eastern Magar,Coda,p
pʰ,1,Eastern Magar,Coda,pʰ
s,1,Eastern Magar,Coda,s
t,1,Eastern Magar,Coda,t
tʰ,1,Eastern Magar,Coda,tʰ
t̪,1,Eastern Magar,Coda,t̪
t̪ʰ,1,Eastern Magar,Coda,t̪ʰ
t͡ɕ,1,Eastern Magar,Coda,t͡ɕ
t͡ɕʰ,1,Eastern Magar,Coda,t͡ɕʰ
ŋ,1,Eastern Magar,Coda,ŋ
ŋ̥,1,Eastern Magar,Coda,ŋ̥
ɡ,1,Eastern Magar,Coda,ɡ
ɡ̤,1,Eastern Magar,Coda,ɡ̤
ɦ,1,Eastern Magar,Coda,ɦ
bj,1,Eastern Magar,Onset,b
b̤j,1,Eastern Magar,Onset,b̤
dj,1,Eastern Magar,Onset,d
d̤j,1,Eastern Magar,Onset,d̤
d̪j,1,Eastern Magar,Onset,d̪
d̪ʰj,1,Eastern Magar,Onset,d̪ʰ
d͡ʑj,1,Eastern Magar,Onset,d͡ʑ
d͡ʑ̤j,1,Eastern Magar,Onset,d͡ʑ̤
kj,1,Eastern Magar,Onset,k
kʰj,1,Eastern Magar,Onset,kʰ
pj,1,Eastern Magar,Onset,p
pʰj,1,Eastern Magar,Onset,pʰ
sj,1,Eastern Magar,Onset,s
tj,1,Eastern Magar,Onset,t
tʰj,1,Eastern Magar,Onset,tʰ
t̪j,1,Eastern Magar,Onset,t̪
t̪ʰj,1,Eastern Magar,Onset,t̪ʰ
t͡ɕj,1,Eastern Magar,Onset,t͡ɕ
t͡ɕʰj,1,Eastern Magar,Onset,t͡ɕʰ
ɡj,1,Eastern Magar,Onset,ɡ
ɡ̤j,1,Eastern Magar,Onset,ɡ̤
bj̥,1,Eastern Magar,Onset,b
b̤j̥,1,Eastern Magar,Onset,b̤
dj̥,1,Eastern Magar,Onset,d
d̤j̥,1,Eastern Magar,Onset,d̤
d̪j̥,1,Eastern Magar,Onset,d̪
d̪ʰj̥,1,Eastern Magar,Onset,d̪ʰ
d͡ʑj̥,1,Eastern Magar,Onset,d͡ʑ
d͡ʑ̤j̥,1,Eastern Magar,Onset,d͡ʑ̤
kj̥,1,Eastern Magar,Onset,k
kʰj̥,1,Eastern Magar,Onset,kʰ
pj̥,1,Eastern Magar,Onset,p
pʰj̥,1,Eastern Magar,Onset,pʰ
sj̥,1,Eastern Magar,Onset,s
tj̥,1,Eastern Magar,Onset,t
tʰj̥,1,Eastern Magar,Onset,tʰ
t̪j̥,1,Eastern Magar,Onset,t̪
t̪ʰj̥,1,Eastern Magar,Onset,t̪ʰ
t͡ɕj̥,1,Eastern Magar,Onset,t͡ɕ
t͡ɕʰj̥,1,Eastern Magar,Onset,t͡ɕʰ
ɡj̥,1,Eastern Magar,Onset,ɡ
ɡ̤j̥,1,Eastern Magar,Onset,ɡ̤
bw,1,Eastern Magar,Onset,b
b̤w,1,Eastern Magar,Onset,b̤
dw,1,Eastern Magar,Onset,d
d̤w,1,Eastern Magar,Onset,d̤
d̪w,1,Eastern Magar,Onset,d̪
d̪ʰw,1,Eastern Magar,Onset,d̪ʰ
d͡ʑw,1,Eastern Magar,Onset,d͡ʑ
d͡ʑ̤w,1,Eastern Magar,Onset,d͡ʑ̤
kw,1,Eastern Magar,Onset,k
kʰw,1,Eastern Magar,Onset,kʰ
pw,1,Eastern Magar,Onset,p
pʰw,1,Eastern Magar,Onset,pʰ
sw,1,Eastern Magar,Onset,s
tw,1,Eastern Magar,Onset,t
tʰw,1,Eastern Magar,Onset,tʰ
t̪w,1,Eastern Magar,Onset,t̪
t̪ʰw,1,Eastern Magar,Onset,t̪ʰ
t͡ɕw,1,Eastern Magar,Onset,t͡ɕ
t͡ɕʰw,1,Eastern Magar,Onset,t͡ɕʰ
ɡw,1,Eastern Magar,Onset,ɡ
ɡ̤w,1,Eastern Magar,Onset,ɡ̤
bw̥,1,Eastern Magar,Onset,b
b̤w̥,1,Eastern Magar,Onset,b̤
dw̥,1,Eastern Magar,Onset,d
d̤w̥,1,Eastern Magar,Onset,d̤
d̪w̥,1,Eastern Magar,Onset,d̪
d̪ʰw̥,1,Eastern Magar,Onset,d̪ʰ
d͡ʑw̥,1,Eastern Magar,Onset,d͡ʑ
d͡ʑ̤w̥,1,Eastern Magar,Onset,d͡ʑ̤
kw̥,1,Eastern Magar,Onset,k
kʰw̥,1,Eastern Magar,Onset,kʰ
pw̥,1,Eastern Magar,Onset,p
pʰw̥,1,Eastern Magar,Onset,pʰ
sw̥,1,Eastern Magar,Onset,s
tw̥,1,Eastern Magar,Onset,t
tʰw̥,1,Eastern Magar,Onset,tʰ
t̪w̥,1,Eastern Magar,Onset,t̪
t̪ʰw̥,1,Eastern Magar,Onset,t̪ʰ
t͡ɕw̥,1,Eastern Magar,Onset,t͡ɕ
t͡ɕʰw̥,1,Eastern Magar,Onset,t͡ɕʰ
ɡw̥,1,Eastern Magar,Onset,ɡ
ɡ̤w̥,1,Eastern Magar,Onset,ɡ̤
bɹ,1,Eastern Magar,Onset,b
b̤ɹ,1,Eastern Magar,Onset,b̤
dɹ,1,Eastern Magar,Onset,d
d̤ɹ,1,Eastern Magar,Onset,d̤
d̪ɹ,1,Eastern Magar,Onset,d̪
d̪ʰɹ,1,Eastern Magar,Onset,d̪ʰ
d͡ʑɹ,1,Eastern Magar,Onset,d͡ʑ
d͡ʑ̤ɹ,1,Eastern Magar,Onset,d͡ʑ̤
kɹ,1,Eastern Magar,Onset,k
kʰɹ,1,Eastern Magar,Onset,kʰ
pɹ,1,Eastern Magar,Onset,p
pʰɹ,1,Eastern Magar,Onset,pʰ
sɹ,1,Eastern Magar,Onset,s
tɹ,1,Eastern Magar,Onset,t
tʰɹ,1,Eastern Magar,Onset,tʰ
t̪ɹ,1,Eastern Magar,Onset,t̪
t̪ʰɹ,1,Eastern Magar,Onset,t̪ʰ
t͡ɕɹ,1,Eastern Magar,Onset,t͡ɕ
t͡ɕʰɹ,1,Eastern Magar,Onset,t͡ɕʰ
ɡɹ,1,Eastern Magar,Onset,ɡ
ɡ̤ɹ,1,Eastern Magar,Onset,ɡ̤
bɹj,1,Eastern Magar,Onset,b
b̤ɹj,1,Eastern Magar,Onset,b̤
dɹj,1,Eastern Magar,Onset,d
d̤ɹj,1,Eastern Magar,Onset,d̤
d̪ɹj,1,Eastern Magar,Onset,d̪
d̪ʰɹj,1,Eastern Magar,Onset,d̪ʰ
d͡ʑɹj,1,Eastern Magar,Onset,d͡ʑ
d͡ʑ̤ɹj,1,Eastern Magar,Onset,d͡ʑ̤
kɹj,1,Eastern Magar,Onset,k
kʰɹj,1,Eastern Magar,Onset,kʰ
pɹj,1,Eastern Magar,Onset,p
pʰɹj,1,Eastern Magar,Onset,pʰ
sɹj,1,Eastern Magar,Onset,s
tɹj,1,Eastern Magar,Onset,t
tʰɹj,1,Eastern Magar,Onset,tʰ
t̪ɹj,1,Eastern Magar,Onset,t̪
t̪ʰɹj,1,Eastern Magar,Onset,t̪ʰ
t͡ɕɹj,1,Eastern Magar,Onset,t͡ɕ
t͡ɕʰɹj,1,Eastern Magar,Onset,t͡ɕʰ
ɡɹj,1,Eastern Magar,Onset,ɡ
ɡ̤ɹj,1,Eastern Magar,Onset,ɡ̤
bɹj̥,1,Eastern Magar,Onset,b
b̤ɹj̥,1,Eastern Magar,Onset,b̤
dɹj̥,1,Eastern Magar,Onset,d
d̤ɹj̥,1,Eastern Magar,Onset,d̤
d̪ɹj̥,1,Eastern Magar,Onset,d̪
d̪ʰɹj̥,1,Eastern Magar,Onset,d̪ʰ
d͡ʑɹj̥,1,Eastern Magar,Onset,d͡ʑ
d͡ʑ̤ɹj̥,1,Eastern Magar,Onset,d͡ʑ̤
kɹj̥,1,Eastern Magar,Onset,k
kʰɹj̥,1,Eastern Magar,Onset,kʰ
pɹj̥,1,Eastern Magar,Onset,p
pʰɹj̥,1,Eastern Magar,Onset,pʰ
sɹj̥,1,Eastern Magar,Onset,s
tɹj̥,1,Eastern Magar,Onset,t
tʰɹj̥,1,Eastern Magar,Onset,tʰ
t̪ɹj̥,1,Eastern Magar,Onset,t̪
t̪ʰɹj̥,1,Eastern Magar,Onset,t̪ʰ
t͡ɕɹj̥,1,Eastern Magar,Onset,t͡ɕ
t͡ɕʰɹj̥,1,Eastern Magar,Onset,t͡ɕʰ
ɡɹj̥,1,Eastern Magar,Onset,ɡ
ɡ̤ɹj̥,1,Eastern Magar,Onset,ɡ̤
bɹw,1,Eastern Magar,Onset,b
b̤ɹw,1,Eastern Magar,Onset,b̤
dɹw,1,Eastern Magar,Onset,d
d̤ɹw,1,Eastern Magar,Onset,d̤
d̪ɹw,1,Eastern Magar,Onset,d̪
d̪ʰɹw,1,Eastern Magar,Onset,d̪ʰ
d͡ʑɹw,1,Eastern Magar,Onset,d͡ʑ
d͡ʑ̤ɹw,1,Eastern Magar,Onset,d͡ʑ̤
kɹw,1,Eastern Magar,Onset,k
kʰɹw,1,Eastern Magar,Onset,kʰ
pɹw,1,Eastern Magar,Onset,p
pʰɹw,1,Eastern Magar,Onset,pʰ
sɹw,1,Eastern Magar,Onset,s
tɹw,1,Eastern Magar,Onset,t
tʰɹw,1,Eastern Magar,Onset,tʰ
t̪ɹw,1,Eastern Magar,Onset,t̪
t̪ʰɹw,1,Eastern Magar,Onset,t̪ʰ
t͡ɕɹw,1,Eastern Magar,Onset,t͡ɕ
t͡ɕʰɹw,1,Eastern Magar,Onset,t͡ɕʰ
ɡɹw,1,Eastern Magar,Onset,ɡ
ɡ̤ɹw,1,Eastern Magar,Onset,ɡ̤
bɹw̥,1,Eastern Magar,Onset,b
b̤ɹw̥,1,Eastern Magar,Onset,b̤
dɹw̥,1,Eastern Magar,Onset,d
d̤ɹw̥,1,Eastern Magar,Onset,d̤
d̪ɹw̥,1,Eastern Magar,Onset,d̪
d̪ʰɹw̥,1,Eastern Magar,Onset,d̪ʰ
d͡ʑɹw̥,1,Eastern Magar,Onset,d͡ʑ
d͡ʑ̤ɹw̥,1,Eastern Magar,Onset,d͡ʑ̤
kɹw̥,1,Eastern Magar,Onset,k
kʰɹw̥,1,Eastern Magar,Onset,kʰ
pɹw̥,1,Eastern Magar,Onset,p
pʰɹw̥,1,Eastern Magar,Onset,pʰ
sɹw̥,1,Eastern Magar,Onset,s
tɹw̥,1,Eastern Magar,Onset,t
tʰɹw̥,1,Eastern Magar,Onset,tʰ
t̪ɹw̥,1,Eastern Magar,Onset,t̪
t̪ʰɹw̥,1,Eastern Magar,Onset,t̪ʰ
t͡ɕɹw̥,1,Eastern Magar,Onset,t͡ɕ
t͡ɕʰɹw̥,1,Eastern Magar,Onset,t͡ɕʰ
ɡɹw̥,1,Eastern Magar,Onset,ɡ
ɡ̤ɹw̥,1,Eastern Magar,Onset,ɡ̤
a,1,Eastern Magar,Nucleus,a
au,1,Eastern Magar,Nucleus,a
b,1,Eastern Magar,Onset,b
b̤,1,Eastern Magar,Onset,b̤
d,1,Eastern Magar,Onset,d
d̤,1,Eastern Magar,Onset,d̤
d̪,1,Eastern Magar,Onset,d̪
d̪ʰ,1,Eastern Magar,Onset,d̪ʰ
d͡ʑ,1,Eastern Magar,Onset,d͡ʑ
d͡ʑ̤,1,Eastern Magar,Onset,d͡ʑ̤
e,1,Eastern Magar,Nucleus,e
ei,1,Eastern Magar,Nucleus,e
eu,1,Eastern Magar,Nucleus,e
h,1,Eastern Magar,Onset,h
i,1,Eastern Magar,Nucleus,i
j,1,Eastern Magar,Onset,j
j̥,1,Eastern Magar,Onset,j̥
k,1,Eastern Magar,Onset,k
kʰ,1,Eastern Magar,Onset,kʰ
l,1,Eastern Magar,Onset,l
l̥,1,Eastern Magar,Onset,l̥
m,1,Eastern Magar,Onset,m
m̥,1,Eastern Magar,Onset,m̥
n,1,Eastern Magar,Onset,n
n̥,1,Eastern Magar,Onset,n̥
o,1,Eastern Magar,Nucleus,o
oi,1,Eastern Magar,Nucleus,o
p,1,Eastern Magar,Onset,p
pʰ,1,Eastern Magar,Onset,pʰ
s,1,Eastern Magar,Onset,s
t,1,Eastern Magar,Onset,t
tʰ,1,Eastern Magar,Onset,tʰ
t̪,1,Eastern Magar,Onset,t̪
t̪ʰ,1,Eastern Magar,Onset,t̪ʰ
t͡ɕ,1,Eastern Magar,Onset,t͡ɕ
t͡ɕʰ,1,Eastern Magar,Onset,t͡ɕʰ
u,1,Eastern Magar,Nucleus,u
w,1,Eastern Magar,Onset,w
w̥,1,Eastern Magar,Onset,w̥
ŋ,1,Eastern Magar,Onset,ŋ
ŋ̥,1,Eastern Magar,Onset,ŋ̥
ɡ,1,Eastern Magar,Onset,ɡ
ɡ̤,1,Eastern Magar,Onset,ɡ̤
ɦ,1,Eastern Magar,Onset,ɦ
ɹ,1,Eastern Magar,Onset,ɹ
ɹ̻,1,Eastern Magar,Onset,ɹ̻
ʌ,1,Eastern Magar,Nucleus,ʌ
ʔ,1,Eastern Magar,Onset,ʔ
#,1,Eastern Newari,Onset,#
#,1,Eastern Newari,Coda,#
a,1,Eastern Newari,Nucleus,a
ai,1,Eastern Newari,Nucleus,a
au,1,Eastern Newari,Nucleus,a
ã,1,Eastern Newari,Nucleus,ã
b,1,Eastern Newari,Onset,b
bj,1,Eastern Newari,Onset,b
bw,1,Eastern Newari,Onset,b
d,1,Eastern Newari,Onset,d
dj,1,Eastern Newari,Onset,d
dw,1,Eastern Newari,Onset,d
d͡ʒ,1,Eastern Newari,Onset,d͡ʒ
d͡ʒj,1,Eastern Newari,Onset,d͡ʒ
d͡ʒw,1,Eastern Newari,Onset,d͡ʒ
e,1,Eastern Newari,Nucleus,e
eu,1,Eastern Newari,Nucleus,e
ẽ,1,Eastern Newari,Nucleus,ẽ
h,1,Eastern Newari,Onset,h
i,1,Eastern Newari,Nucleus,i
i,1,Eastern Newari,Coda,i
ĩ,1,Eastern Newari,Nucleus,ĩ
j,1,Eastern Newari,Onset,j
k,1,Eastern Newari,Coda,k
k,1,Eastern Newari,Onset,k
kj,1,Eastern Newari,Onset,k
kw,1,Eastern Newari,Onset,k
kʰ,1,Eastern Newari,Onset,kʰ
kʰj,1,Eastern Newari,Onset,kʰ
kʰw,1,Eastern Newari,Onset,kʰ
l,1,Eastern Newari,Coda,l
l,1,Eastern Newari,Onset,l
lj,1,Eastern Newari,Onset,l
lw,1,Eastern Newari,Onset,l
m,1,Eastern Newari,Coda,m
m,1,Eastern Newari,Onset,m
mw,1,Eastern Newari,Onset,m
n,1,Eastern Newari,Coda,n
n,1,Eastern Newari,Onset,n
nj,1,Eastern Newari,Onset,n
nw,1,Eastern Newari,Onset,n
o,1,Eastern Newari,Nucleus,o
oi,1,Eastern Newari,Nucleus,o
õ,1,Eastern Newari,Nucleus,õ
p,1,Eastern Newari,Onset,p
p,1,Eastern Newari,Coda,p
pj,1,Eastern Newari,Onset,p
pw,1,Eastern Newari,Onset,p
pʰ,1,Eastern Newari,Onset,pʰ
pʰj,1,Eastern Newari,Onset,pʰ
pʰw,1,Eastern Newari,Onset,pʰ
r,1,Eastern Newari,Coda,r
s,1,Eastern Newari,Coda,s
s,1,Eastern Newari,Onset,s
sj,1,Eastern Newari,Onset,s
sw,1,Eastern Newari,Onset,s
t,1,Eastern Newari,Onset,t
t,1,Eastern Newari,Coda,t
tj,1,Eastern Newari,Onset,t
tw,1,Eastern Newari,Onset,t
tʰ,1,Eastern Newari,Onset,tʰ
tʰj,1,Eastern Newari,Onset,tʰ
tʰw,1,Eastern Newari,Onset,tʰ
t͡ʃ,1,Eastern Newari,Onset,t͡ʃ
t͡ʃj,1,Eastern Newari,Onset,t͡ʃ
t͡ʃw,1,Eastern Newari,Onset,t͡ʃ
t͡ʃʰ,1,Eastern Newari,Onset,t͡ʃʰ
t͡ʃʰj,1,Eastern Newari,Onset,t͡ʃʰ
t͡ʃʰw,1,Eastern Newari,Onset,t͡ʃʰ
u,1,Eastern Newari,Nucleus,u
ũ,1,Eastern Newari,Nucleus,ũ
w,1,Eastern Newari,Onset,w
ŋ,1,Eastern Newari,Coda,ŋ
ŋ,1,Eastern Newari,Onset,ŋ
ŋj,1,Eastern Newari,Onset,ŋ
ŋw,1,Eastern Newari,Onset,ŋ
ɑ,1,Eastern Newari,Nucleus,ɑ
ɑi,1,Eastern Newari,Nucleus,ɑ
ɑu,1,Eastern Newari,Nucleus,ɑ
ɑ̃,1,Eastern Newari,Nucleus,ɑ̃
ɖ,1,Eastern Newari,Onset,ɖ
ɖj,1,Eastern Newari,Onset,ɖ
ɖw,1,Eastern Newari,Onset,ɖ
ɡ,1,Eastern Newari,Onset,ɡ
ɡj,1,Eastern Newari,Onset,ɡ
ɡw,1,Eastern Newari,Onset,ɡ
ɽ,1,Eastern Newari,Onset,ɽ
ʈ,1,Eastern Newari,Onset,ʈ
ʈj,1,Eastern Newari,Onset,ʈ
ʈw,1,Eastern Newari,Onset,ʈ
ʈʰ,1,Eastern Newari,Onset,ʈʰ
ʈʰj,1,Eastern Newari,Onset,ʈʰ
ʈʰw,1,Eastern Newari,Onset,ʈʰ
#,1,Eastern Panjabi,Onset,#
#,1,Eastern Panjabi,Coda,#
a,1,Eastern Panjabi,Nucleus,a
ã,1,Eastern Panjabi,Nucleus,ã
b,1,Eastern Panjabi,Onset,b
b,1,Eastern Panjabi,Coda,b
bd,1,Eastern Panjabi,Coda,b
bj,1,Eastern Panjabi,Onset,b
bk,1,Eastern Panjabi,Coda,b
bt,1,Eastern Panjabi,Coda,b
bɾ,1,Eastern Panjabi,Coda,b
c,1,Eastern Panjabi,Onset,c
c,1,Eastern Panjabi,Coda,c
cc,1,Eastern Panjabi,Coda,c
cʰ,1,Eastern Panjabi,Onset,cʰ
cʰ,1,Eastern Panjabi,Coda,cʰ
d,1,Eastern Panjabi,Onset,d
d,1,Eastern Panjabi,Coda,d
e,1,Eastern Panjabi,Nucleus,e
ẽ,1,Eastern Panjabi,Nucleus,ẽ
h,1,Eastern Panjabi,Onset,h
h,1,Eastern Panjabi,Coda,h
i,1,Eastern Panjabi,Nucleus,i
ĩ,1,Eastern Panjabi,Nucleus,ĩ
j,1,Eastern Panjabi,Onset,j
j,1,Eastern Panjabi,Coda,j
k,1,Eastern Panjabi,Onset,k
k,1,Eastern Panjabi,Coda,k
kj,1,Eastern Panjabi,Onset,k
kk,1,Eastern Panjabi,Coda,k
kkʰ,1,Eastern Panjabi,Coda,k
ks,1,Eastern Panjabi,Coda,k
kt,1,Eastern Panjabi,Coda,k
kɾ,1,Eastern Panjabi,Onset,k
kʈ,1,Eastern Panjabi,Coda,k
kʰ,1,Eastern Panjabi,Onset,kʰ
kʰ,1,Eastern Panjabi,Coda,kʰ
kʰj,1,Eastern Panjabi,Onset,kʰ
kʰt,1,Eastern Panjabi,Coda,kʰ
l,1,Eastern Panjabi,Onset,l
l,1,Eastern Panjabi,Coda,l
lb,1,Eastern Panjabi,Coda,l
ld,1,Eastern Panjabi,Coda,l
lk,1,Eastern Panjabi,Coda,l
lkʰ,1,Eastern Panjabi,Coda,l
lp,1,Eastern Panjabi,Coda,l
ls,1,Eastern Panjabi,Coda,l
lt,1,Eastern Panjabi,Coda,l
lʈ,1,Eastern Panjabi,Coda,l
m,1,Eastern Panjabi,Onset,m
m,1,Eastern Panjabi,Coda,m
mj,1,Eastern Panjabi,Coda,m
mk,1,Eastern Panjabi,Coda,m
n,1,Eastern Panjabi,Onset,n
n,1,Eastern Panjabi,Coda,n
nɖ,1,Eastern Panjabi,Coda,n
o,1,Eastern Panjabi,Nucleus,o
õ,1,Eastern Panjabi,Nucleus,õ
p,1,Eastern Panjabi,Onset,p
p,1,Eastern Panjabi,Coda,p
pj,1,Eastern Panjabi,Onset,p
psʰ,1,Eastern Panjabi,Coda,p
pt,1,Eastern Panjabi,Coda,p
pɾ,1,Eastern Panjabi,Onset,p
pʰ,1,Eastern Panjabi,Onset,pʰ
pʰ,1,Eastern Panjabi,Coda,pʰ
s,1,Eastern Panjabi,Onset,s
s,1,Eastern Panjabi,Coda,s
sb,1,Eastern Panjabi,Coda,s
sk,1,Eastern Panjabi,Coda,s
sl,1,Eastern Panjabi,Onset,s
sn,1,Eastern Panjabi,Coda,s
sp,1,Eastern Panjabi,Coda,s
st,1,Eastern Panjabi,Coda,s
sɾ,1,Eastern Panjabi,Onset,s
sʈ,1,Eastern Panjabi,Coda,s
t,1,Eastern Panjabi,Onset,t
t,1,Eastern Panjabi,Coda,t
tj,1,Eastern Panjabi,Onset,t
tkʰ,1,Eastern Panjabi,Coda,t
tl,1,Eastern Panjabi,Coda,t
tɾ,1,Eastern Panjabi,Onset,t
tʰ,1,Eastern Panjabi,Onset,tʰ
tʰ,1,Eastern Panjabi,Coda,tʰ
w,1,Eastern Panjabi,Onset,w
w,1,Eastern Panjabi,Coda,w
æ,1,Eastern Panjabi,Nucleus,æ
æ̃,1,Eastern Panjabi,Nucleus,æ̃
ɖ,1,Eastern Panjabi,Onset,ɖ
ɖ,1,Eastern Panjabi,Coda,ɖ
ə,1,Eastern Panjabi,Nucleus,ə
əe,1,Eastern Panjabi,Nucleus,ə
əi,1,Eastern Panjabi,Nucleus,ə
əo,1,Eastern Panjabi,Nucleus,ə
əu,1,Eastern Panjabi,Nucleus,ə
ə̃,1,Eastern Panjabi,Nucleus,ə̃
ɟ,1,Eastern Panjabi,Onset,ɟ
ɟ,1,Eastern Panjabi,Coda,ɟ
ɟɾ,1,Eastern Panjabi,Coda,ɟ
ɡ,1,Eastern Panjabi,Onset,ɡ
ɡ,1,Eastern Panjabi,Coda,ɡ
ɡj,1,Eastern Panjabi,Onset,ɡ
ɡl,1,Eastern Panjabi,Coda,ɡ
ɡɡ,1,Eastern Panjabi,Coda,ɡ
ɡɾ,1,Eastern Panjabi,Onset,ɡ
ɪ,1,Eastern Panjabi,Nucleus,ɪ
ɪa,1,Eastern Panjabi,Nucleus,ɪ
ɪo,1,Eastern Panjabi,Nucleus,ɪ
ɪʌ,1,Eastern Panjabi,Nucleus,ɪ
ɪ̃,1,Eastern Panjabi,Nucleus,ɪ̃
ɭ,1,Eastern Panjabi,Coda,ɭ
ɭ,1,Eastern Panjabi,Onset,ɭ
ɲ,1,Eastern Panjabi,Onset,ɲ
ɲ,1,Eastern Panjabi,Coda,ɲ
ɳ,1,Eastern Panjabi,Coda,ɳ
ɽ,1,Eastern Panjabi,Coda,ɽ
ɽ,1,Eastern Panjabi,Onset,ɽ
ɽn,1,Eastern Panjabi,Coda,ɽ
ɽp,1,Eastern Panjabi,Coda,ɽ
ɽɡ,1,Eastern Panjabi,Coda,ɽ
ɾ,1,Eastern Panjabi,Onset,ɾ
ɾ,1,Eastern Panjabi,Coda,ɾ
ɾb,1,Eastern Panjabi,Coda,ɾ
ɾc,1,Eastern Panjabi,Coda,ɾ
ɾd,1,Eastern Panjabi,Coda,ɾ
ɾk,1,Eastern Panjabi,Coda,ɾ
ɾl,1,Eastern Panjabi,Coda,ɾ
ɾm,1,Eastern Panjabi,Coda,ɾ
ɾpʰ,1,Eastern Panjabi,Coda,ɾ
ɾs,1,Eastern Panjabi,Coda,ɾ
ɾt,1,Eastern Panjabi,Coda,ɾ
ɾz,1,Eastern Panjabi,Coda,ɾ
ɾɖ,1,Eastern Panjabi,Coda,ɾ
ɾɟ,1,Eastern Panjabi,Coda,ɾ
ɾɽ,1,Eastern Panjabi,Coda,ɾ
ʂ,1,Eastern Panjabi,Onset,ʂ
ʂ,1,Eastern Panjabi,Coda,ʂ
ʂk,1,Eastern Panjabi,Coda,ʂ
ʂt,1,Eastern Panjabi,Coda,ʂ
ʈ,1,Eastern Panjabi,Onset,ʈ
ʈ,1,Eastern Panjabi,Coda,ʈ
ʈk,1,Eastern Panjabi,Coda,ʈ
ʈɾ,1,Eastern Panjabi,Onset,ʈ
ʈʈʰ,1,Eastern Panjabi,Coda,ʈ
ʈʰ,1,Eastern Panjabi,Onset,ʈʰ
ʈʰ,1,Eastern Panjabi,Coda,ʈʰ
ʊ,1,Eastern Panjabi,Nucleus,ʊ
ʊa,1,Eastern Panjabi,Nucleus,ʊ
ʊ̃,1,Eastern Panjabi,Nucleus,ʊ̃
ʌ,1,Eastern Panjabi,Nucleus,ʌ
ʌ̃,1,Eastern Panjabi,Nucleus,ʌ̃
#,1,Eastern Tamang,Onset,#
#,1,Eastern Tamang,Coda,#
a,1,Eastern Tamang,Nucleus,a
ai,1,Eastern Tamang,Nucleus,a
au,1,Eastern Tamang,Nucleus,a
aː,1,Eastern Tamang,Nucleus,aː
e,1,Eastern Tamang,Nucleus,e
eː,1,Eastern Tamang,Nucleus,eː
h,1,Eastern Tamang,Onset,h
i,1,Eastern Tamang,Nucleus,i
iː,1,Eastern Tamang,Nucleus,iː
j,1,Eastern Tamang,Onset,j
k,1,Eastern Tamang,Coda,k
k,1,Eastern Tamang,Onset,k
kj,1,Eastern Tamang,Onset,k
kl,1,Eastern Tamang,Onset,k
kw,1,Eastern Tamang,Onset,k
kɾ,1,Eastern Tamang,Onset,k
kʰ,1,Eastern Tamang,Onset,kʰ
kʰj,1,Eastern Tamang,Onset,kʰ
kʰl,1,Eastern Tamang,Onset,kʰ
kʰw,1,Eastern Tamang,Onset,kʰ
kʰɾ,1,Eastern Tamang,Onset,kʰ
